complaint_id,area_id,complaint_text,severity
101,A1,My internet keeps failing,High
102,A2,Internet speed is slightly slow,Low
103,A3,My calls keep dropping,High
104,A1,Internet is not working at all,High
105,A2,I was charged twice this month,Medium
106,A3,The network is slow during the evening,Low
107,A1,Excellent service and good network coverage,Low
108,A2,I cannot make calls properly,High
109,A3,Internet speed could be better,Low
110,A1,Everything is working perfectly,Low
111,A2,Frequent call drops are affecting my work,High
112,A3,The data connection is unstable,Medium
113,A1,The network connection is terrible,High
114,A2,Billing issue needs attention,Medium
115,A3,My internet works fine most of the time,Low
